id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
19,5019,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5019,https://gateway.pinata.cloud/ipfs/QmZoQGU7KQAwZtw3j1TrdsVLEKHUbkcYNhrHKs8NpN75uD,Maya Blue Background,Raven Wings,Fuscia Daisy Dragon,Wicker Scales,Split Rouge Tail,Rose Crescent Ears,Focused Eyes,Geeky Mouth,Moose Horns,Wreath Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.414+05,2021-10-17 18:19:03.414+05
20,5020,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5020,https://gateway.pinata.cloud/ipfs/Qmbarw5JURMCtGiYQTzcq1yKiUSEW4W8tscDX8APgqW1JA,Floral Background,Jezebel Wings,Gecko Dragon,Pai Sho Scales,Spear Fish Trail,Fortune Cookie Ears,Prideful Eyes,Bulldog Mouth,Red Devil Horns,Blood Ruby Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:19:03.415+05,2021-10-17 18:19:03.415+05
21,5021,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5021,https://gateway.pinata.cloud/ipfs/QmQ5fPXoKJCDmcJs4oynFpgHNKSsMHNsuxffTX4i1BWgbR,Majorelle Blue Background,Nightmare Wings,Fuscia Daisy Dragon,Root Scales,Scope Tail,Cloudy Ears,Sleepy Eyes,Grinning Mouth,Thin Sheep Horns,Tuba Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.416+05,2021-10-17 18:19:03.416+05
22,5022,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5022,https://gateway.pinata.cloud/ipfs/QmQSwATXzbdNMBRdTvBNfPKaA5346KehCBSzfqkeZunHVx,Blue-gray Background,Spider Web Wings,Corny Blue Dragon,Green Vine Scales,Split Armored Tail,Sad Bat Ears,Enlightened Eyes,Growling Mouth,Moose Horns,Black Phantom Hair Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.417+05,2021-10-17 18:19:03.417+05
23,5023,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5023,https://gateway.pinata.cloud/ipfs/QmYdxB1RcGyGbZnMHQSKtRVVvghauEQ49yQCxp9MDUJ3gp,Cider Background,Pterodactyl Wings,Black Spectrum Dragon,Argyle Scales,Charcoal Split Tail,Doberman Ears,Envy Eyes,Talkative Mouth,Antelope Horns,Rhino Horn Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:03.418+05,2021-10-17 18:19:03.418+05
24,5024,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5024,https://gateway.pinata.cloud/ipfs/QmdgM4PS6Snfj7kfd5aNDt452ST8EkXdX4V5rWyAPRCHid,Maya Blue Background,Devilish Palm Wings,Cheetah Dot Dragon,Basket Weave Scales,Hungarian Horn Tail,Beetle ears,Drowsy Eyes,Orc Mouth,Maleficient Horns,Funky Mohican Hair Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:03.42+05,2021-10-17 18:19:03.42+05
25,5025,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5025,https://gateway.pinata.cloud/ipfs/QmUBHmRbrjVfHhcLLchTPndLe5GwNSzRDT6854UnMsPn4B,Flaxen Background,Serpent Wings,Dark Shadow Dragon,Grilled Scales,Devil Scales Tail,Moose Horn Ears,Relieved Eyes,Suffering Mouth,Ballistic Horns,Sparky Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:19:03.421+05,2021-10-17 18:19:03.421+05
26,5026,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5026,https://gateway.pinata.cloud/ipfs/QmRZn4WaTAP4NDuQnYoEkSpXhi3KWmw9CDUSNZZMes8FgY,Olive Drab Background,Chrono Wings,Black Spectrum Dragon,Kilt Scales,Godzilla Glowing Tail,Metal Spearhead Ears,Sleepy Eyes,Sarcastic Mouth,Devil Horns,Crimson Rhino Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:03.423+05,2021-10-17 18:19:03.423+05
27,5027,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5027,https://gateway.pinata.cloud/ipfs/QmdA1MVf2P5ixVW1wNyzx89FJBVagjVvNsTMNBSArFXmhZ,Deep Sky Blue Background,Bloodlust Wings,Cheetah Dot Dragon,Diamondback Scales,Bright droplet tail,Whale ears,Petrified Eyes,Puerile Mouth,Maleficient Horns,Black Phantom Hair Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:19:03.438+05,2021-10-17 18:19:03.438+05
28,5028,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5028,https://gateway.pinata.cloud/ipfs/QmPPATqq55kRxieqPqULsB9YpaARQt2AVjh7ey7TKewZTC,Pink Punch Background,Spider Web Wings,Dark Shadow Dragon,Firey Scales,Caiman Tail,Witch Nose Ears,Pretty Eyes,Jolly Mouth,Ram Horns,Amethyst Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:19:03.44+05,2021-10-17 18:19:03.44+05
29,5029,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5029,https://gateway.pinata.cloud/ipfs/QmTRxwUhpSmyozKmzjRmpH9WinniQdzWsHJz8JsMHtb9EE,Dark Oranges Background,Transveral Blue Wings,Morion Lava Dragon,Black Rose Scales,Brown Twisted Tail,Poodle Ears,Glaring Eyes,Bulldog Mouth,Antelope Horns,Rhino Horn Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:19:03.446+05,2021-10-17 18:19:03.446+05
30,5030,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5030,https://gateway.pinata.cloud/ipfs/QmS6RtEsohud1hKS1hnmXhrTf9ZAvBCirRe2PJe3vPf2bX,Cupid Background,Funky Green Wings,Albino Embrace Dragon,Jigsaw Scales,Penta Crystal Tail,White Vampire Ears,Cute Eyes,Nonchalant Mouth,Ram Horns,Cyclone Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:19:03.451+05,2021-10-17 18:19:03.451+05
31,5031,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5031,https://gateway.pinata.cloud/ipfs/Qmf1kr5Ejqpb1gTyG8QNq67tnR9KScmFXSbfTFY8Fh2hZn,Electric Cyclone Background,Pixie Wings,Fuscia Daisy Dragon,Obsidian Scales,Scope Tail,Cloudy Ears,Enraged Eyes,Saucy Mouth,Springbok Horns,Whirlpool Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.454+05,2021-10-17 18:19:03.454+05
32,5032,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5032,https://gateway.pinata.cloud/ipfs/QmfBY3EoKuhQiX9ZVKKwDmoVJYKEBRWZFTP8YyePoYmQt6,Pearl Blush Background,Volcanic Wings,Lightning Jade Dragon,Twirling Scales,Median Strip Tail,Black Gargoyle Ears,Arrogant Eyes,Yelling Mouth,Devil Horns,Rhino Horn Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:03.457+05,2021-10-17 18:19:03.457+05
33,5033,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5033,https://gateway.pinata.cloud/ipfs/QmXApPpenPC9sNPsppSBTjxP2WgFpdN832rtDuEqVQp2rg,Air Superiority Blue Background,Armada Twine Wings,Corny Blue Dragon,Basket Weave Scales,Trident Tail,Fish Tail Ears,Cute Eyes,Gratified Mouth,Snail Shell Horns,Atlan Crown Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.466+05,2021-10-17 18:19:03.466+05
34,5034,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5034,https://gateway.pinata.cloud/ipfs/QmfTCJUPpxXjM79QhH5QRv5gQ87pnQb2TGmiQ4T6ppw2Tt,Blue-gray Background,Dijon Wings,Aqua Spiral Dragon,Pangolin Scales,Violet Oar Tail,Bison Ears,Sharp Eyes,Resentful Mouth,Snail Shell Horns,Crimson Rhino Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:19:03.468+05,2021-10-17 18:19:03.468+05
35,5035,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5035,https://gateway.pinata.cloud/ipfs/QmRkuoRpjrCWR1rdZxVjL2FeQhhXjt2nhQtTpwWKV4p4PV,Fire Pumpkin Background,Azure Wings,Aqua Spiral Dragon,Firey Scales,Violet Oar Tail,Azure Flappy Ears,Starry Night Eyes,Menancing Mouth,Thin Sheep Horns,Atlan Crown Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:19:03.47+05,2021-10-17 18:19:03.47+05
36,5036,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5036,https://gateway.pinata.cloud/ipfs/QmYFEQmAmd7RhUfySMk6pe9WA8BFL8q6cA4VAQVW8ZJZb6,Mademoiselle Background,Heavenly Light Wings,Flamy Dragon,Aztec Scales,Golden Bolt Tail,Moustache Ears,Confident Eyes,Suffering Mouth,Small Stone Horns,Blood Ruby Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:19:03.476+05,2021-10-17 18:19:03.476+05
37,5037,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5037,https://gateway.pinata.cloud/ipfs/QmSxmHY342UW9mb7fp4SCoui9ANPYnKjpqftJQ7dojX3GE,Aurora Dark Pink Background,Volcanic Wings,Bloodhound Dragon,Black Rose Scales,Maroon Boomerang Tail,Cowboy Pistol Ears,Confident Eyes,Suffering Mouth,Snail Shell Horns,Emerald Crown Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:19:03.478+05,2021-10-17 18:19:03.478+05
38,5038,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5038,https://gateway.pinata.cloud/ipfs/QmXMG36Zy6obNevkNSq8CBWFzYPuUCxHuFTmYz96HLhcb3,Air Superiority Blue Background,Chestnut Wings,Lightning Jade Dragon,Smokey Distorted Scales,Median Strip Tail,Double Black Ears,Confused Eyes,Saucy Mouth,Shadow Embrace Horns,Turban Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:19:03.48+05,2021-10-17 18:19:03.48+05
39,5039,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5039,https://gateway.pinata.cloud/ipfs/QmXnnek8SAUKeJ1SB1E23RaFoWtFYwW6UB3v9ZDgFxPCrf,Pearl Blush Background,Sapphire Wings,Tiger Stripped Dragon,Firey Scales,Orange Spade Tail,Sad Pig Ears,Pretty Eyes,Crooked Sabretooth Mouth,Snail Shell Horns,Fin Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:19:03.482+05,2021-10-17 18:19:03.482+05
40,5040,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5040,https://gateway.pinata.cloud/ipfs/QmRrRrQ8sJ4i7irJfW5L3mVJnmQ4TWcEQHcirzKdM5vUkK,Carrot Top Background,Raven Wings,Aqua Spiral Dragon,Bubble Wrap Scales,Quad Scale Tail,Calf Ears,Scared Eyes,Tenacious Mouth,Springbok Horns,Scythe Hair Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:19:03.483+05,2021-10-17 18:19:03.483+05
41,5041,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5041,https://gateway.pinata.cloud/ipfs/QmZYxrtDn7fezKbpvXChA33RtczkDL4moWqoucWY3dtnAM,Carolina Flamingo Background,Chestnut Wings,Corny Blue Dragon,Green Vine Scales,Spike Plate Tail,Flying Squirrel Ears,Confused Eyes,Nonchalant Mouth,Battle X Horns,Crescent Spring Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.485+05,2021-10-17 18:19:03.485+05
42,5042,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5042,https://gateway.pinata.cloud/ipfs/QmWkvGZp91w6M2yjNVcU7dAHca1B7iEZApsPS1XHB1khVx,Orchid Sunrise Background,Cyber Blade Wings,Moon Stone Dragon,Pangolin Scales,White Oar Tail,Sail Ears,Envy Eyes,Lucky Mouth,Maleficent Spectrum Horns,Blood Ruby Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:19:03.488+05,2021-10-17 18:19:03.488+05
43,5043,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5043,https://gateway.pinata.cloud/ipfs/QmaE1iqwgCnqXHkzJaxSmDJbkKwhAhroWNXaGL7P6pksvp,Yellow Green Background,Golden Mocha Wings,Aqua Spiral Dragon,Zig Zag Scales,Eagle Beak Tail,Bison Ears,Relieved Eyes,Repentant Mouth,Anchor Horns,Crimson Rhino Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:19:03.491+05,2021-10-17 18:19:03.491+05
44,5044,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5044,https://gateway.pinata.cloud/ipfs/QmVPZ6Tme2CS6RzTJ5hFpYVi7o5dhWwC1VFfAteFo36rbi,Floral Background,Angelic Blue Wings,Electro Yale Dragon,Pai Sho Scales,Striped GoldFish Tail,Puffy Ears,Scared Eyes,Frisky Mouth,Juvenile Minotaur Horns,Blood Ruby Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:19:03.493+05,2021-10-17 18:19:03.493+05
45,5045,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #5045,https://gateway.pinata.cloud/ipfs/QmZUTmRwgMDTbxC4z3E3Uz6iehuGo6USf1AUBz6HN4mm9t,Amethyst Background,Desert Inferno Wings,Corny Blue Dragon,Root Scales,Trident Tail,Sad Bat Ears,Puckered Eyes,Growling Mouth,Red Devil Horns,Sparky Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:19:03.495+05,2021-10-17 18:19:03.495+05
46,5046,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #5046,https://gateway.pinata.cloud/ipfs/QmVdfmVGsMiFtCvHxX1eHx8v44srHg9aePYP4ftz9QwvKF,Golden Orange Background,Flamingo Wings,Amazonian Dragon,Turtle Shell Scales,Green Anaconda Tail,Vulture Beak Ears,Sleepy Eyes,Sarcastic Mouth,Small Stone Horns,Fin Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:19:03.497+05,2021-10-17 18:19:03.497+05
