id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
11,11,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0011,https://gateway.pinata.cloud/ipfs/Qme3vBEJjYwvPfZW6LMUL7cuhLMu7Vha6Sr8rfwM4CQGgW,Majorelle Blue Background,Evergreen Wings,Windstorm Dragon,Obsidian Scales,Devil Spetum Tail,Goldfish Fin Ears,Winking Eyes,Sigh Mouth,Demon Horns,Blood Ruby Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:44.772+05,2021-10-17 18:18:44.772+05
12,12,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0012,https://gateway.pinata.cloud/ipfs/QmXbfo8C4kUMw3xnyD7bqYeCkVKEW4DcGiYetqqBe8hdpY,Majorelle Blue Background,Chestnut Wings,Flamy Dragon,Noodle Scales,Pistachio Tail,Apricloth Ears,Thinking Eyes,Frisky Mouth,Shadow Embrace Horns,Star Sapphire Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:44.781+05,2021-10-17 18:18:44.781+05
13,13,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0013,https://gateway.pinata.cloud/ipfs/QmTFesfjWWyxZ5Af7WM4LsanVri6z7Dq5mCzzz3qLQ5JSc,Olive Drab Background,Rouge Bat Wings,Lilac Blue Dragon,Bubble Wrap Scales,Harpoon Tail,Tired Minotaur Ears,Narcissist Eyes,Dracula Mouth,Anchor Horns,Sparky Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:44.788+05,2021-10-17 18:18:44.788+05
14,14,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0014,https://gateway.pinata.cloud/ipfs/QmRK9uvwQRHGppfFGyd9eoZnjTXyL1pxA5mTqi1YSxGLVP,Tangerine Background,Vampire Wings,Cheetah Dot Dragon,Pangolin Scales,Bright droplet tail,Cotton Candy ears,Focused Eyes,Menancing Mouth,Splinter Horns,Layered Opal Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:44.806+05,2021-10-17 18:18:44.806+05
15,15,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0015,https://gateway.pinata.cloud/ipfs/QmZ31VKUHjsFEAzmCvUiLb1hpqvy2QfCm9Ch58tx3JqpoU,Powder Blue Background,Spider Web Wings,Lilac Blue Dragon,Wavy Incensed Scales,Deca Thorn Tail,Alert Bat Ears,Confused Eyes,Avid Mouth,Kudu Horns,White Rhino Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:44.808+05,2021-10-17 18:18:44.808+05
16,16,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0016,https://gateway.pinata.cloud/ipfs/QmYTq4UJtGHVs6fTW3QvUXBmd44otjv4SnCbkPEX1RVF5A,Fandango Background,Pixie Wings,Tiger Stripped Dragon,Green Vine Scales,Flamingo Neck Tail,Flexing Ears,Unamused Eyes,Dracula Mouth,Beast Horns,Scythe Hair Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:44.812+05,2021-10-17 18:18:44.812+05
17,17,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0017,https://gateway.pinata.cloud/ipfs/QmTjq1BCN6eqzL1456uPafLrhD3JxL61oK3QdjcHHiEDTQ,Flaxen Background,Parrot Wings,Lilac Blue Dragon,Alligator Scales,Deca Thorn Tail,Tired Minotaur Ears,Enthusiastic Eyes,Phlegmatic Mouth,Red Devil Horns,Purple S Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:44.817+05,2021-10-17 18:18:44.817+05
18,18,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0018,https://gateway.pinata.cloud/ipfs/QmeX9ZM93FyjGFXqtDFZqApbTSf47iVdrxkWpEFo2hrp44,Olive Drab Background,Taffy Turquoise Wings,Rosie Pink Dragon,Basket Weave Scales,Sting Pink Tail,Lizard Feet Ears,Arrogant Eyes,Growling Mouth,Shadow Embrace Horns,Tornado Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:44.819+05,2021-10-17 18:18:44.819+05
19,19,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0019,https://gateway.pinata.cloud/ipfs/QmZziK9CUccfHFUMvaMFQVjj8pHya41fUQKxEpkRGxdgvU,Violet Blue Background,Nightmare Wings,Flamy Dragon,Gecko Scales,Golden Bolt Tail,Apricloth Ears,Bewildered Eyes,Suffering Mouth,Thin Sheep Horns,Apostrophe Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:44.82+05,2021-10-17 18:18:44.82+05
20,20,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0020,https://gateway.pinata.cloud/ipfs/Qme5w3msZR6SkF2Sy7iApnPciPbXYo2oLJxYTNV8CbYg9v,Green Spring Background,Gargoyle Wings,Lilac Blue Dragon,Diamondback Scales,Crooked Tail,Pointy Molar Ears,Unamused Eyes,Nonchalant Mouth,Snail Shell Horns,Crimson Rhino Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:44.822+05,2021-10-17 18:18:44.822+05
21,21,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0021,https://gateway.pinata.cloud/ipfs/QmNZGVitoiu77J3ityojX74Cg82oBSj1bjW3yhBCyYQxR5,Cupid Background,Sahara Wings,Lightning Jade Dragon,Grilled Scales,Scorpion Tail,Lamb Sheep Ears,Prideful Eyes,Phlegmatic Mouth,Antelope Horns,Whirlpool Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:44.823+05,2021-10-17 18:18:44.823+05
22,22,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0022,https://gateway.pinata.cloud/ipfs/QmQwNL49ebViTYBEYgRP2JSNhWxihG48u7nrB5at1mbu7s,Maya Blue Background,Armada Twine Wings,Flamy Dragon,Illuminious Scales,Pistachio Tail,Witch Broom Ears,Relieved Eyes,Annoyed Mouth,Maleficient Horns,Apostrophe Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:44.826+05,2021-10-17 18:18:44.826+05
23,23,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0023,https://gateway.pinata.cloud/ipfs/QmXBQrF2yWPgUuwFA1kwa7iGjQ1bGjYSRVQfFJRgzXfBjm,Exposed Shadow Background,Golden Mocha Wings,Dark Shadow Dragon,Shackles Scales,Diamond Tail,Batarang Ears,Astonish Eyes,Ulterior Mouth,Thin Sheep Horns,Crimson Rhino Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:44.831+05,2021-10-17 18:18:44.831+05
24,24,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0024,https://gateway.pinata.cloud/ipfs/QmTvJQJEEAztwSWxMoikV4mMMCTT9o5hcXfpvTs8cqeo3w,Mademoiselle Background,Funky Green Wings,Moon Stone Dragon,Argyle Scales,White Diez Tail,White Hook Ears,Insomnia Eyes,Annoyed Mouth,Shadow Embrace Horns,Golden Moon Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:44.834+05,2021-10-17 18:18:44.834+05
25,25,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0025,https://gateway.pinata.cloud/ipfs/QmVAHhEpezJ86naQuCQj6UevNjjkWNiTb4yVpGQxj54FC6,Mademoiselle Background,Indigo Canary Wings,Fuscia Daisy Dragon,Checker Scales,Scope Tail,Rose Crescent Ears,Pretty Eyes,Dracula Mouth,Splinter Horns,Layered Opal Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:44.841+05,2021-10-17 18:18:44.841+05
26,26,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0026,https://gateway.pinata.cloud/ipfs/QmXcSsKbQfMP86piQ2t663wYtqa6vqgqkxFrTENcKxtgLP,Frosted Tulip Background,Chestnut Wings,Vanilla Meteorite Dragon,Wavy Incensed Scales,Magenta Monkey Tail,Slashed Puffy Ears,Puckered Eyes,Menancing Mouth,Devil Horns,Crescent Spring Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:44.844+05,2021-10-17 18:18:44.844+05
27,27,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0027,https://gateway.pinata.cloud/ipfs/QmX7TM9ak2PRvuEjabVsx1K5qf6dGgsvh9b8oeGnJAyi59,Hot Pink Background,Wasp Wings,Albino Embrace Dragon,Swirling Scales,Flamingo Beak Tail,Moon Light Ears,Domineering Eyes,Yawning Mouth,G Horns,Whirlpool Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:44.847+05,2021-10-17 18:18:44.847+05
28,28,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0028,https://gateway.pinata.cloud/ipfs/QmdnNzRWiVrWMTJR2jQJnJ5whndu1Gybd9yziA8UTboUMf,Deep Pink Orchid Background,Spotty FAYZ Wings,Fuscia Daisy Dragon,Illuminious Scales,Split Rouge Tail,Cloudy Ears,Goo Goo Eyes,Sarcastic Mouth,Anchor Horns,Sparky Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:44.854+05,2021-10-17 18:18:44.854+05
29,29,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0029,https://gateway.pinata.cloud/ipfs/QmcSmSDfBBpZNney9wMbf7xjtKDDKzU73VrBaf3hwLxZZP,Magenta Background,Onyx Wings,Vanilla Meteorite Dragon,Crooked Scales,Jaguar Tail,Elk Ears,Cute Eyes,Suffering Mouth,Antelope Horns,Crimson Rhino Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:44.902+05,2021-10-17 18:18:44.902+05
30,30,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0030,https://gateway.pinata.cloud/ipfs/QmRmPuwSoXgxJhtrCUk9ypzhJHwV2NufYJJU7UNG9BQoKj,Tea Rose Background,Compact Ligth Wings,Atomic Tangerine Dragon,Magma Tide Scales,Imperial Topaz Tail,Tumbling Vigilant Ears,Turqoiuse Serpentine Eyes,Peachy Mouth,Roosevelt Elk Horns,Pit Plan Headpiece,Tundra Mountain,Legendary Dragon,Light Beam,f,2021-10-17 18:18:44.919+05,2021-10-17 18:18:44.919+05
31,31,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0031,https://gateway.pinata.cloud/ipfs/QmdrJRSdb49bd8zoWQCnKtDPwPSe2rbXp3TomNjp3X4Za5,Carolina Flamingo Background,Golden Darner Wings,Ocean Blue Dragon,Argyle Scales,Scaly Rattle Tail,Marine Bat Ears,Confused Eyes,Jubilant Mouth,Fire Horns,Vision Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:18:44.921+05,2021-10-17 18:18:44.921+05
32,32,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0032,https://gateway.pinata.cloud/ipfs/QmVuAMFhisgdPZ3uovhDKbhDZWNxDjkrfvyQek3KfDqfPD,Salmon Chablis Background,Ashy Twig Wings,Black Spectrum Dragon,Totem Scales,Arabian Dagger Tail,Bulldog Ears,Scared Eyes,Raunchy Mouth,G Horns,Conch Shell Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:44.929+05,2021-10-17 18:18:44.929+05
33,33,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0033,https://gateway.pinata.cloud/ipfs/QmeQdpGkYApNL1KBH6pRZg71HwBzyZpqJbWFfn38f4L8UD,Tomato Pink Background,Onyx Wings,Aqua Spiral Dragon,Groovy Scales,Quad Scale Tail,Azure Flappy Ears,Prideful Eyes,Aggresive Mouth,Red Devil Horns,Funky Mohican Hair Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:44.932+05,2021-10-17 18:18:44.932+05
34,34,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0034,https://gateway.pinata.cloud/ipfs/QmZPn7QpLpfcDZFKyV2xRaKRYrDiG9pCPwEanXk3pX5kpp,Tangerine Background,Chestnut Wings,Neon Grape Dragon,Ikat Scales,Barbed Parakeet Tail,Cloudy Chartreuse Ears,Spooked Eyes,Ulterior Mouth,Red Devil Horns,Emerald Crown Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:44.934+05,2021-10-17 18:18:44.934+05
35,35,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0035,https://gateway.pinata.cloud/ipfs/QmaYRuN9dZSMRYCkLwsKgt7UN9CHH8BeTAa3977SL6h1gK,Khaki Background,Midnight Claw Wings,Vanilla Meteorite Dragon,Scallops Scales,Jaguar Tail,Orc Ears,Drowsy Eyes,Jolly Mouth,Anchor Horns,Turban Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:44.936+05,2021-10-17 18:18:44.936+05
36,36,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0036,https://gateway.pinata.cloud/ipfs/QmV4m6rjTNwtiMEeeJVEcKNgrySk6z8KDi3JRbpwxFu3qq,Primrose Garden Background,Pixie Wings,Amazonian Dragon,Noodle Scales,Stripy Rainforest Tail,Vulture Beak Ears,Prideful Eyes,Lucky Mouth,Maleficient Horns,Richie Rich Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:44.937+05,2021-10-17 18:18:44.937+05
37,37,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0037,https://gateway.pinata.cloud/ipfs/QmVG9enmoveps3Ek6NjGrhcLafHTjNAQfrnJDEniVsjqJ5,Golden Orange Background,Asguardian Wings,Bloodhound Dragon,Buckbeaks Feather Scales,Bloody Cyclone Tail,Cape Buffalo Ears,Astonish Eyes,Sarcastic Mouth,Small Stone Horns,Tornado Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:44.938+05,2021-10-17 18:18:44.938+05
38,38,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0038,https://gateway.pinata.cloud/ipfs/QmTo56Nh9tSnmrVyM6r7be3j2JiBHZiymp2AJwrH8SYCTh,Peach Puff Background,Chestnut Wings,Dark Shadow Dragon,Thunderclap Scales,Devil Scales Tail,Wildebeest Ears,Focused Eyes,Phlegmatic Mouth,Fire Horns,Purple S Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:44.941+05,2021-10-17 18:18:44.941+05
39,39,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0039,https://gateway.pinata.cloud/ipfs/QmSuocvsyH4wM9UoZnGnp9i1f66AMoDN3L7CsDx7VMmyrx,Capri Blue Background,Bloodstained Wings,Undead Dragon,Butchered Innards Scales,Open Fracture Tail,Ravaged Crown Ears,Demented Eyes,Barbarian Mouth,Babirusa Horns,Drizzling Trauma Headpiece,Shire,Infected,Virus Infection,f,2021-10-17 18:18:44.952+05,2021-10-17 18:18:44.952+05
40,40,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0040,https://gateway.pinata.cloud/ipfs/QmWnE7FseY1xJmYg5aY48A2j4FEbyzojZJFLfycTgkzuPH,Khaki Background,Evergreen Wings,Rosie Pink Dragon,Jigsaw Scales,Magenta Chameleon,Praen Ears,Winking Eyes,Sad Vampire Mouth,Splinter Horns,Golden Moon Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:44.954+05,2021-10-17 18:18:44.954+05
41,41,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0041,https://gateway.pinata.cloud/ipfs/QmUAAGQedo7QtBKSKmr6qeUBVyhYVm4TD6qJq2fjCHXLAe,Floral Background,Purple Prism Wings,Amazonian Dragon,Gecko Scales,Green Anaconda Tail,Ripped Ballon Ears,Weary Eyes,Smug Mouth,Red Devil Horns,Turban Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:44.955+05,2021-10-17 18:18:44.955+05
42,42,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0042,https://gateway.pinata.cloud/ipfs/QmRQb1hE7g8jBvx1VgfEuy756VLSEfFjoKqjdzJwmS8K3h,Salmon Background,Gargoyle Wings,Tiger Stripped Dragon,Basket Weave Scales,Striped Spear Tail,Umbrella Ears,Focused Eyes,Triumphant Mouth,Ballistic Horns,Cyclone Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:44.958+05,2021-10-17 18:18:44.958+05
43,43,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0043,https://gateway.pinata.cloud/ipfs/QmRXxsurLxHrJ8xBWMjteicJAdjLjfNneaScaMiqWavw6v,Fire Pumpkin Background,Emeral Wings,Tiger Stripped Dragon,Twirling Scales,Horseshoe Hook Tail,Orange Pig Ears,Weary Eyes,Gnarly Mouth,G Horns,Richie Rich Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:44.961+05,2021-10-17 18:18:44.961+05
44,44,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0044,https://gateway.pinata.cloud/ipfs/QmTn8KieCH1Cxo57h2SNTGEC1KJVJScFpDtYVA7HHxKMDe,Pineapple Lime Background,Indigo Canary Wings,Cheetah Dot Dragon,Scallops Scales,Vivid ord tail,Whale ears,Bewildered Eyes,Sigh Mouth,Antelope Horns,Black Phantom Hair Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:44.963+05,2021-10-17 18:18:44.963+05
45,45,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0045,https://gateway.pinata.cloud/ipfs/QmNmZ1o8iQx263NSnpbVhcGhEmLFR3pCB28omoBoB5PANi,Tangerine Background,Spotty FAYZ Wings,Bloodhound Dragon,Argyle Scales,Bloody Cyclone Tail,Rooster Comb Ears,Piqued Eyes,Geeky Mouth,Splinter Horns,Blood Ruby Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:44.964+05,2021-10-17 18:18:44.964+05
